,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
0,MA Starc,2014-2018,56,56,481.1,28,2372,108,6/28,21.96,4.92,26.7,6,2
1,JR Hazlewood,2014-2018,42,41,373.2,25,1764,71,6/52,24.84,4.72,31.5,1,3
2,JP Faulkner,2014-2017,45,44,348.3,7,1881,60,4/32,31.35,5.39,34.8,2,0
3,PJ Cummins,2014-2018,37,37,328.0,18,1719,58,4/24,29.63,5.24,33.9,4,0
4,MR Marsh,2014-2018,49,47,275.2,6,1520,43,5/33,35.34,5.52,38.4,1,1
5,A Zampa,2016-2019,34,34,281.4,3,1582,42,3/16,37.66,5.61,40.2,0,0
6,GJ Maxwell,2014-2019,66,49,219.1,4,1248,35,4/46,35.65,5.69,37.5,1,0
7,JW Hastings,2015-2017,18,18,156.4,6,846,34,6/45,24.88,5.40,27.6,1,1
8,MG Johnson,2014-2015,17,17,140.2,10,654,31,4/22,21.09,4.66,27.1,1,0
9,NM Coulter-Nile,2014-2018,15,15,119.2,4,648,27,4/48,24.00,5.43,26.5,1,0
10,KW Richardson,2014-2018,17,17,149.5,7,839,27,5/68,31.07,5.59,33.2,0,1
11,MP Stoinis,2015-2019,24,22,157.2,1,953,22,3/16,43.31,6.05,42.9,0,0
12,NM Lyon,2014-2019,15,15,141.0,8,694,17,4/44,40.82,4.92,49.7,1,0
13,SM Boland,2016-2016,14,13,119.2,3,725,16,3/67,45.31,6.07,44.7,0,0
14,JA Richardson,2018-2019,7,7,67.0,5,383,13,4/26,29.46,5.71,30.9,1,0
15,TM Head,2016-2018,42,26,127.3,0,737,12,2/22,61.41,5.78,63.7,0,0
16,AJ Tye,2018-2018,7,7,64.3,1,392,12,5/46,32.66,6.07,32.2,0,1
17,AC Agar,2015-2018,9,9,72.0,2,414,8,2/48,51.75,5.75,54.0,0,0
18,B Stanlake,2017-2019,7,7,59.0,3,324,7,3/35,46.28,5.49,50.5,0,0
19,CP Tremain,2016-2016,4,4,40.0,0,255,7,3/64,36.42,6.37,34.2,0,0
20,SPD Smith,2014-2018,74,9,24.3,1,151,5,3/16,30.20,6.16,29.4,0,0
21,SR Watson,2014-2015,17,14,66.0,0,409,5,2/39,81.80,6.19,79.2,0,0
22,XJ Doherty,2014-2015,6,6,46.0,1,237,4,2/54,59.25,5.15,69.0,0,0
23,JP Behrendorff,2019-2019,2,2,18.2,3,91,3,2/39,30.33,4.96,36.6,0,0
24,MC Henriques,2015-2017,6,6,32.0,0,183,3,1/30,61.00,5.71,64.0,0,0
25,JM Mennie,2016-2016,2,2,20.0,2,131,3,3/49,43.66,6.55,40.0,0,0
26,GS Sandhu,2015-2015,2,2,20.0,0,107,3,2/49,35.66,5.35,40.0,0,0
27,MG Neser,2018-2018,2,2,16.4,1,120,2,2/46,60.00,7.20,50.0,0,0
28,PM Siddle,2019-2019,3,3,25.0,1,162,2,1/48,81.00,6.48,75.0,0,0
29,SA Abbott,2014-2014,1,1,5.0,0,25,1,1/25,25.00,5.00,30.0,0,0
30,MJ Clarke,2014-2015,9,2,6.0,0,16,1,1/14,16.00,2.66,36.0,0,0
31,JS Paris,2016-2016,2,2,16.0,0,93,1,1/40,93.00,5.81,96.0,0,0
32,DJ Worrall,2016-2016,3,3,26.2,0,171,1,1/43,171.00,6.49,158.0,0,0
33,BCJ Cutting,2014-2014,1,1,6.0,0,18,0,-,-,3.00,-,0,0
34,AJ Finch,2014-2019,76,10,19.4,0,111,0,-,-,5.64,-,0,0
35,JL Pattinson,2015-2015,2,2,15.0,1,109,0,-,-,7.26,-,0,0
36,DJM Short,2018-2018,4,3,7.0,0,59,0,-,-,8.42,-,0,0
37,GJ Bailey,2014-2016,51,-,-,-,-,-,-,-,-,-,-,-
38,JA Burns,2015-2015,6,-,-,-,-,-,-,-,-,-,-,-
39,AT Carey,2018-2019,9,-,-,-,-,-,-,-,-,-,-,-
40,HWR Cartwright,2017-2017,2,-,-,-,-,-,-,-,-,-,-,-
41,BJ Haddin,2014-2015,21,-,-,-,-,-,-,-,-,-,-,-
42,PSP Handscomb,2017-2019,11,-,-,-,-,-,-,-,-,-,-,-
43,SD Heazlett,2017-2017,1,-,-,-,-,-,-,-,-,-,-,-
44,PJ Hughes,2014-2014,5,-,-,-,-,-,-,-,-,-,-,-
45,UT Khawaja,2016-2019,18,-,-,-,-,-,-,-,-,-,-,-
46,CA Lynn,2017-2018,4,-,-,-,-,-,-,-,-,-,-,-
47,SE Marsh,2015-2019,18,-,-,-,-,-,-,-,-,-,-,-
48,TD Paine,2018-2018,9,-,-,-,-,-,-,-,-,-,-,-
49,MS Wade,2014-2017,52,-,-,-,-,-,-,-,-,-,-,-
